City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
411,Mahibadhoo,MV,82.54,Rain,3.7833,72.9667,Omadhoo Inn
413,Sal Rei,CV,79.0,Clear,16.1833,-22.9167,Marine Club Beach Resort
417,Sri Aman,MY,75.25,Clouds,1.2376,111.4621,Seri Simanggang Hotel
419,Namatanai,PG,78.37,Clouds,-3.6667,152.4333,Seagulls Inn Namatani
422,Cabedelo,BR,79.47,Clouds,-6.9811,-34.8339,Hotel Pigalle
423,El Bagre,CO,83.12,Clouds,7.5927,-74.8086,Hotel Real
426,Kudahuvadhoo,MV,80.76,Rain,2.6708,72.8944,Niyama Private Islands Maldives
427,Saint Anthony,US,75.25,Clear,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
428,Piacabucu,BR,81.91,Clear,-10.4056,-36.4344,Piaçabuçu News
429,Takoradi,GH,81.93,Clouds,4.8845,-1.7554,Raybow International Hotel
