WeatherPy_Database,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Country,Date
210,Bosaso,11.2842,49.1816,89.78,29,66,9.24,Clouds,SO,2022-05-13 19:19:55
211,Itarema,-2.9248,-39.9167,78.48,85,100,10.85,Rain,BR,2022-05-13 19:19:55
212,Alexandria,31.2156,29.9553,69.46,70,100,13.04,Clouds,EG,2022-05-13 19:19:55
213,Acapulco,16.8634,-99.8901,91.22,62,100,10.36,Clouds,MX,2022-05-13 19:19:41
214,Preobrazheniye,42.9019,133.9064,46.0,96,100,1.45,Rain,RU,2022-05-13 19:19:56
215,Da Lat,11.9465,108.4419,61.74,97,100,0.92,Clouds,VN,2022-05-13 19:19:56
216,Ponta Do Sol,32.6667,-17.1,72.01,81,2,3.33,Clear,PT,2022-05-13 19:19:56
217,Dikson,73.5069,80.5464,32.72,99,100,11.21,Clouds,RU,2022-05-13 19:19:57
218,Sandpoint,48.2766,-116.5533,48.78,54,100,11.5,Clouds,US,2022-05-13 19:19:57
219,Bethanien,-26.502,17.1583,60.71,17,100,6.04,Clouds,NA,2022-05-13 19:18:37
220,Tiksi,71.6872,128.8694,13.69,90,43,11.88,Clouds,RU,2022-05-13 19:19:58
221,Mae Sai,20.4335,99.8762,73.85,90,0,1.14,Clear,TH,2022-05-13 19:19:58
222,Niquero,20.0431,-77.5828,83.8,60,100,10.71,Clouds,CU,2022-05-13 19:19:58
223,Colimes,-1.55,-80.0167,81.0,79,86,3.2,Clouds,EC,2022-05-13 19:16:14
224,Dicabisagan,17.0818,122.4157,79.9,87,60,8.9,Clouds,PH,2022-05-13 19:18:55
225,Caravelas,-17.7125,-39.2481,79.02,70,3,7.94,Clear,BR,2022-05-13 19:20:59
226,Yenagoa,4.9247,6.2642,78.69,88,38,5.88,Clouds,NG,2022-05-13 19:20:59
227,Seoul,37.5683,126.9778,53.17,58,0,5.75,Clear,KR,2022-05-13 19:18:18
228,Saint-Michel-Des-Saints,46.6834,-73.9159,86.94,34,46,11.88,Clouds,CA,2022-05-13 19:20:59
229,Broome,42.2506,-75.833,82.2,57,17,5.99,Clouds,US,2022-05-13 19:21:00
230,Catalao,-18.1658,-47.9464,81.86,39,91,3.44,Clouds,BR,2022-05-13 19:21:00
231,Avera,33.194,-82.5271,78.85,64,100,10.29,Rain,US,2022-05-13 19:16:24
232,Maun,-19.9833,23.4167,64.36,45,0,2.3,Clear,BW,2022-05-13 19:21:01
233,Igrim,63.1906,64.4162,51.44,63,93,4.97,Clouds,RU,2022-05-13 19:21:01
234,Jackson,42.4165,-122.8345,63.91,61,100,1.99,Clouds,US,2022-05-13 19:21:01
235,Lima,-12.0432,-77.0282,61.05,82,100,12.66,Clouds,PE,2022-05-13 19:16:55
